"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"m","< 0,0001",0,"< 0,0001","< 0,0001","< 0,0001","0,254","0,254","0,254","< 0,0001","0,000","< 0,0001","< 0,0001","< 0,0001","0,416","< 0,0001","< 0,0001","0,213","0,252","0,879","0,619","0,167","0,261","0,001","0,445","0,072","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,410"
"parallel_edges","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001","0,532","0,532","0,532","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,001","< 0,0001","< 0,0001","0,495","0,530","0,840","0,736","0,454","0,423","0,025","0,666","0,481","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,001"
"m_unique","< 0,0001","< 0,0001","< 0,0001",0,"0,007","0,267","0,267","0,267","< 0,0001","0,736","< 0,0001","0,675","< 0,0001","0,573","< 0,0001","< 0,0001","0,225","0,264","0,926","0,651","0,178","0,313","0,003","0,461","0,060","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,001","0,670","0,583"
"avg_degree","0,841","< 0,0001","< 0,0001","0,007",0,"0,196","0,196","0,196","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,034","< 0,0001","< 0,0001","0,088","0,197","0,322","0,433","< 0,0001","0,291","< 0,0001","0,056","0,001","< 0,0001","< 0,0001","0,084","0,814","< 0,0001","< 0,0001","< 0,0001","0,034"
"avg_degree_centrality","0,293","0,254","0,532","0,267","0,196",0,"< 0,0001","< 0,0001","0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"avg_in_degree_centrality","0,293","0,254","0,532","0,267","0,196","< 0,0001",0,"< 0,0001","0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"avg_out_degree_centrality","0,293","0,254","0,532","0,267","0,196","< 0,0001","< 0,0001",0,"0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"max_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,323","0,323","0,323",0,"< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,195","< 0,0001","< 0,0001","0,280","0,320","0,624","0,884","0,236","0,384","0,009","0,533","0,179","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,192"
"max_degree_centrality","0,586","0,000","< 0,0001","0,736","< 0,0001","0,025","0,025","0,025","< 0,0001",0,"< 0,0001","< 0,0001","0,002","< 0,0001","0,001","< 0,0001","0,386","0,026","0,388","0,039","< 0,0001","0,917","0,006","0,498","0,055","< 0,0001","< 0,0001","0,026","0,889","< 0,0001","< 0,0001","< 0,0001","< 0,0001"
"max_in_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,328","0,328","0,328","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001","0,211","< 0,0001","< 0,0001","0,285","0,325","0,611","0,897","0,242","0,394","0,008","0,539","0,173","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,209"
"max_in_degree_centrality","0,621","< 0,0001","< 0,0001","0,675","< 0,0001","0,438","0,438","0,438","< 0,0001","< 0,0001","< 0,0001",0,"0,003","0,061","0,000","< 0,0001","0,198","0,444","0,260","0,032","< 0,0001","0,974","0,004","0,184","0,045","< 0,0001","< 0,0001","0,012","0,688","< 0,0001","< 0,0001","< 0,0001","0,062"
"max_out_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,562","0,562","0,562","< 0,0001","0,002","< 0,0001","0,003",0,"0,008","< 0,0001","< 0,0001","0,526","0,560","0,948","0,719","0,475","0,474","0,537","0,691","0,998","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,003","0,008"
